1	0000000000000000	-----------#	-----------#	-----------#	-----------#
2	01001	-----------#	-----------#	-----------#	-----------#
3	01001	-----------#	-----------#	-----------#	-----------#
4	10001	-----------#	-----------#	-----------#	-----------#
5	01001	-----------#	-----------#	-----------#	-----------#
6	01001	-----------#	-----------#	-----------#	-----------#
7	01001	-----------#	-----------#	-----------#	-----------#
8	01001	-----------#	-----------#	-----------#	-----------#
9	01001	-----------#	-----------#	-----------#	-----------#
10	01001	-----------#	-----------#	-----------#	-----------#
11	01001	-----------#	-----------#	-----------#	-----------#
12	01001	-----------#	-----------#	-----------#	-----------#
13	01001	-----------#	-----------#	-----------#	-----------#
14	01001	-----------#	-----------#	-----------#	-----------#
15	01001	-----------#	-----------#	-----------#	-----------#
16	01001	-----------#	-----------#	-----------#	-----------#
17	01001	-----------#	-----------#	-----------#	-----------#
18	01001	-----------#	-----------#	-----------#	-----------#
19	01001	-----------#	-----------#	-----------#	-----------#
20	01011	-----------#	-----------#	-----------#	-----------#
21	01001	-----------#	-----------#	-----------#	-----------#
22	01001	-----------#	-----------#	-----------#	-----------#
23	01001	-----------#	-----------#	-----------#	-----------#
24	01001	-----------#	-----------#	-----------#	-----------#
25	01001	-----------#	-----------#	-----------#	-----------#
26	01001	-----------#	-----------#	-----------#	-----------#
27	01001	-----------#	-----------#	-----------#	-----------#
28	01001	-----------#	-----------#	-----------#	-----------#
29	01001	-----------#	-----------#	-----------#	-----------#
30	01011	-----------#	-----------#	-----------#	-----------#
31	01011	-----------#	-----------#	-----------#	-----------#
32	01011	-----------#	-----------#	-----------#	-----------#
33	01011	-----------#	-----------#	-----------#	-----------#
34	01011	-----------#	-----------#	-----------#	-----------#
35	01011	-----------#	-----------#	-----------#	-----------#
36	01001	-----------#	-----------#	-----------#	-----------#
37	00000	-----------#	-----------#	-----------#	-----------#
38	00000	-----------#	-----------#	-----------#	-----------#
39	00000	-----------#	-----------#	-----------#	-----------#
40	01001	-----------#	-----------#	-----------#	-----------#
41	01001	-----------#	-----------#	-----------#	-----------#
42	01001	-----------#	-----------#	-----------#	-----------#
43	01001	-----------#	-----------#	-----------#	-----------#
44	01001	-----------#	-----------#	-----------#	-----------#
45	01001	-----------#	-----------#	-----------#	-----------#
46	01010	-----------#	-----------#	-----------#	-----------#
47	01011	-----------#	-----------#	-----------#	-----------#
48	00010	-----------#	-----------#	-----------#	-----------#
49	01011	-----------#	-----------#	-----------#	-----------#
50	01011	-----------#	-----------#	-----------#	-----------#
51	01011	-----------#	-----------#	-----------#	-----------#
52	01011	-----------#	-----------#	-----------#	-------###-#
53	01001	-----------#	-----------#	-----------#	-------###-#
54	01001	-----------#	-----------#	-------###-#	-------###-#
55	01001	-----------#	-----------#	-------###-#	-------###-#
56	01011	-----------#	-------###-#	-------###-#	-----------#
57	01011	-------###-#	-------###-#	-----------#	-----------#
58	01011	-------###-#	-------###-#	-----------#	-----------#
59	01011	-------###-#	-----------#	-----------#	-----------#
60	01011	-------###-#	-----------#	-----------#	-----------#
61	01011	-----------#	-----------#	-----------#	-----------#
62	01011	-----------#	-----------#	-----------#	-----------#
63	01001	-----------#	-----------#	-----------#	-----------#
64	01001	-----------#	-----------#	-----------#	-----------#
65	01001	-----------#	-----------#	-----------#	-----------#
66	01001	-----------#	-----------#	-----------#	-----------#
67	01001	-----------#	-----------#	-----------#	-----------#
68	01001	-----------#	-----------#	-----------#	-----------#
69	01001	-----------#	-----------#	-----------#	-----------#
70	01001	-----------#	-----------#	-----------#	------------
71	01001	-----------#	-----------#	------------	-----------#
72	01001	-----------#	-----------#	------------	-----------#
73	01001	-----------#	------------	-----------#	------------
74	01001	------------	-----------#	------------	-----------#
75	01001	------------	-----------#	------------	-----------#
76	01001	-----------#	------------	-----------#	-----------#
77	01011	------------	-----------#	-----------#	------------
78	01011	------------	-----------#	-----------#	------------
79	01011	-----------#	-----------#	------------	-----------#
80	01001	-----------#	------------	-----------#	-----------#
81	01001	-----------#	------------	-----------#	-----------#
82	01001	------------	-----------#	-----------#	------------
83	01001	-----------#	-----------#	------------	-----------#
84	01001	-----------#	-----------#	------------	-----------#
85	01001	-----------#	------------	-----------#	-----------#
86	01001	------------	-----------#	-----------#	------------
87	01001	-----------#	-----------#	------------	-----------#
88	01001	-----------#	-----------#	------------	-----------#
89	01001	-----------#	------------	-----------#	-----------#
90	01001	------------	-----------#	-----------#	-----------#
